iter	Passed	Remaining
0	2	847
1	5	797
2	8	800
3	11	822
4	13	789
5	16	800
6	18	761
7	21	772
8	24	787
9	26	778
10	29	781
11	32	768
12	34	761
13	37	756
14	39	754
15	42	751
16	44	742
17	47	737
18	49	735
19	52	728
20	54	724
21	57	720
22	59	720
23	62	714
24	64	711
25	66	704
26	69	704
27	71	699
28	74	695
29	77	694
30	79	689
31	82	689
32	84	685
33	87	682
34	89	681
35	92	676
36	94	673
37	97	672
38	101	678
39	104	676
40	106	673
41	109	670
42	111	668
43	114	665
44	117	664
45	119	659
46	122	657
47	124	653
48	127	653
49	130	651
50	132	647
51	135	644
52	137	642
53	140	637
54	142	636
55	145	633
56	147	629
57	150	626
58	152	622
59	155	620
60	157	617
61	160	614
62	162	611
63	165	608
64	167	604
65	170	602
66	172	600
67	176	600
68	178	597
69	181	594
70	183	592
71	186	590
72	189	588
73	192	586
74	193	581
75	196	579
76	198	575
77	201	573
78	204	571
79	206	568
80	209	565
81	210	560
82	213	558
83	215	555
84	219	554
85	221	550
86	223	548
87	226	546
88	229	543
89	232	541
90	234	538
91	237	537
92	239	533
93	242	530
94	244	528
95	247	525
96	249	522
97	252	519
98	254	517
99	257	514
100	259	510
101	261	507
102	264	505
103	266	502
104	268	499
105	271	496
106	273	493
107	276	491
108	279	488
109	281	485
110	284	483
111	286	480
112	288	477
113	291	475
114	293	472
115	296	469
116	298	467
117	300	464
118	303	461
119	305	458
120	308	455
121	310	453
122	313	450
123	315	448
124	318	445
125	321	443
126	324	441
127	326	439
128	329	436
129	332	434
130	334	431
131	337	430
132	340	427
133	344	426
134	346	423
135	349	421
136	351	418
137	354	415
138	356	413
139	359	410
140	362	408
141	364	405
142	367	403
143	370	400
144	372	398
145	374	395
146	377	392
147	379	389
148	381	387
149	384	384
150	387	382
151	389	379
152	392	377
153	394	374
154	397	371
155	400	369
156	402	366
157	405	364
158	407	361
159	409	358
160	412	355
161	414	353
162	417	350
163	419	348
164	422	345
165	424	342
166	427	340
167	429	337
168	432	335
169	434	332
170	436	329
171	439	326
172	441	324
173	444	321
174	446	318
175	449	316
176	451	313
177	454	311
178	456	308
179	459	306
180	461	303
181	464	300
182	466	298
183	469	295
184	472	293
185	474	290
186	477	288
187	479	285
188	482	283
189	484	280
190	487	278
191	490	275
192	492	273
193	495	270
194	497	268
195	500	265
196	503	262
197	505	260
198	508	257
199	511	255
200	515	253
201	518	251
202	521	249
203	523	246
204	526	244
205	529	241
206	531	238
207	534	236
208	536	233
209	539	231
210	541	228
211	544	225
212	546	223
213	548	220
214	550	217
215	552	214
216	555	212
217	557	209
218	560	207
219	562	204
220	564	201
221	566	199
222	569	196
223	571	193
224	573	191
225	576	188
226	578	185
227	580	183
228	582	180
229	585	178
230	587	175
231	589	172
232	592	170
233	594	167
234	596	165
235	598	162
236	601	159
237	603	157
238	606	154
239	608	152
240	611	149
241	613	147
242	616	144
243	619	142
244	621	139
245	624	137
246	627	134
247	629	132
248	632	129
249	634	126
250	638	124
251	640	122
252	643	119
253	646	117
254	648	114
255	651	111
256	653	109
257	656	106
258	659	104
259	662	101
260	665	99
261	668	97
262	671	94
263	674	92
264	677	89
265	680	87
266	683	84
267	686	81
268	690	79
269	693	77
270	695	74
271	698	71
272	700	69
273	703	66
274	706	64
275	709	61
276	711	59
277	714	56
278	717	53
279	719	51
280	722	48
281	725	46
282	728	43
283	731	41
284	733	38
285	736	36
286	739	33
287	742	30
288	744	28
289	747	25
290	750	23
291	753	20
292	756	18
293	758	15
294	761	12
295	764	10
296	766	7
297	784	5
298	787	2
299	790	0
